STATION CODE,LOCATIONS,STATE,Temp,PH,Conductivity,BOD,NI,Fec_col,Tot_col
2249,"GROUND WATER FROM TEZPUR (MISSION
CHARIALI), ASSAM",ASSAM,25,6.65,193.5,1.4,1,2,2
2250,"GROUND WATER FROM NAGAON (PANIGAON),
ASSAM",ASSAM,27,6.7,271.5,1.7,0.65,2,2
2251,"GROUND WATER FROM JAGIROAD NEAR HPC
EFFLUENT DISCHARGE POINT, ASSAM",ASSAM,28,5.75,478,3.35,3.2,2,2
2252,"GROUND WATER NEAR MSW DUMPING SITE AT
GARCHUK-GUWAHATI, ASSAM",ASSAM,27.5,6.8,169.5,1.65,0.3,2,2
2253,"GROUND WATER FROM NALBARI, ASSAM",ASSAM,29.5,6.55,191.5,1.25,1.25,2,2
2254,"GROUND WATER FROM BARPETA ROAD(RLY
STATION), ASSAM",ASSAM,29,7.6,421,1.25,0.65,2,2
2255,"GROUND WATER NEAR BPRL, DHALIGAON,
ASSAM",ASSAM,27.5,7.35,110,1.2,2.15,2,2
2256,"GROUND WATER FROM KOKRAJHAR DISTRICT
(HS SCHOOL ), ASSAM",ASSAM,29,6.45,218.5,1.2,0.35,2,2
2257,"GROUND WATER FROM DHUBRI DISTRICT
(COLLEGE NAGAR ), ASSAM",ASSAM,31,6.75,376,1.45,0.4,2,2
2258,"GROUND WATER FROM GOALPARA DIST.
(GOALPARA COLLEGE ), ASSAM",ASSAM,28.5,6.9,328.5,1.55,1.8,2,2
2259,"GROUND WATER FROM DIPHU (GOVT. COLLEGE),
ASSAM",ASSAM,27,6.95,750.5,2,0.4,2,2
2260,"GROUND WATER FROM HAMREN, ASSAM",ASSAM,28,6.85,149,1.8,0.45,2,2
2261,"GROUND WATER FROM HAFLONG, ASSAM",ASSAM,22,6.5,120,1.2,0.1,2,2
2262,"GROUND WATER FROM KARIMGANJ (COLLEGE),
ASSAM",ASSAM,24,6.25,129,1,0.45,2,2
2263,"GROUND WATER FROM HIALAKANDI (NEAR ASTC
BUS STAND ), ASSAM",ASSAM,24.5,6.95,192,1.1,0.35,2,2
2264,"GROUND WATER IN PANCHGRAM MARKET NEAR
CACHAR PAPER MILL, ASSAM",ASSAM,24.5,6.9,152,4.4,1,2,2
3761,BISWANATH CHARIALI TOWN,ASSAM,25,6.8,219.5,1.75,0.3,2,2
3762,"MUNICIPAL WASTE PROCESSING FACILITY,
MORABHARLI, TEZPUR",ASSAM,26,6.6,315,1.5,1.45,2,2
3766,MANGALDOI TOWN,ASSAM,27,6.8,136,1.8,0.9,2,2
3770,"GROUND WATER NEAR GARMUR RECREATION
GROUND, JORHAT",ASSAM,28,7.2,226.5,2.1,2.4,2,2
3771,"GROUND WATER FROM TITABAR URBAN WATER
SUPPLY, TITABAR",ASSAM,27,7.4,316,2.05,1.2,2,2
3779,"GROUND WATER FROM GARMUR, MAJULI",ASSAM,26,6.6,231,1.7,1.4,2,2
3790,"GOGAMUKH PUBLIC WATER SUPPLY SCHEME,
GOGAMUKH, DHEMAJI",ASSAM,19,6.3,208,1.45,0.9,2,2
3793,"TUBE WELL AT R/O SRI TANKESWAR DAS, RUPJYOTI COLONY (NAGABALI) MUNICIPALITY
DUMPING SITE, GOLAGHAT",ASSAM,27,6.35,307.5,4.15,0.5,2,2
3794,"TUBE WELL AT R/O SRI ANIL BAORA AT BOSAGAON NEAR BY THE ATHKHALIA,
NAMGHAR, PO: PULIKAITONI",ASSAM,27,7.05,467,8,0.4,2,2
3795,"TUBE WELL OF WOKHA GORONGA GIRLS ME
SCHOOL, GOROUNGA TINIALI, FURKATING",ASSAM,27,7.45,351.5,1.8,0.3,2,2
3801,"GROUND WATER FROM MEHEPUR TRENCHING
GROUND, MEHERPUR, CACHAR",ASSAM,24.5,7.05,393,4.3,0.7,2,2
3802,"GROUND WATER FROM MEHEPUR NEAR A CLUSTER OF NURSING HOME & DIAGNOSTIC
CENTRE, MEHERPUR, CACHAR",ASSAM,24.5,7.15,328.5,2.4,0.75,2,2
3805,"GROUND WATER NEAR BADARPUR INDUSTRIAL
AREA AT BADARPUR GHAT, KARIMGANJ",ASSAM,24.5,6.6,166,2.7,0.85,2,2
3813,"GROUND WATER FROM BONDA, GUWAHATI",ASSAM,27,6.25,269.5,1.75,0.95,2,2
3815,"GROUND WATER FROM KHANAPARA,
GUWAHATI",ASSAM,27.5,6.85,413,1.55,2.15,2,2
3816,"GROUND WATER FROM BASISTHA, GUWAHATI",ASSAM,26.5,6.45,226,1.6,1.9,2,2
3817,"GROUND WATER FROM KAHILIPARA, GUWAHATI",ASSAM,26,6.6,328.5,1.05,0.7,2,2
3818,"GROUND WATER FROM MALIGAON, GUWAHATI",ASSAM,25,7.05,285.5,1.75,0.45,2,2
4001,GROUND WATER FROM PANJABARI,ASSAM,24,6.75,351.5,1.15,1.7,2,2
4002,GROUND WATER FROM SANTIPUR,ASSAM,26.5,6.8,230,1,0.6,2,2
4003,"GROUND WATER FROM TEZPUR COLLEGIATE
HIGH SCHOOL",ASSAM,26.5,7.45,131,1.35,0.65,2,2
4007,GROUND WATER FROM LAKWAH,ASSAM,24,6.95,244.5,2.1,0.55,2,2
4008,GROUND WATER FROM GELEKY,ASSAM,25,7.25,260.5,1.45,1.7,2,2
4303,GROUND WATER FROM SATGAON,ASSAM,26,6.7,212.5,1.4,1.4,2,2
1825,"BORE WELL WATER AT KATRA BAZAR WATER
TANK, MALSALAMI, PATNA",BIHAR,25,7.55,503,1.4,0.25,2,2
1826,"BORE WELL WATER AT BHUT NATH ROAD WATER
TANK SEC-3, KANKARBAGH,PATNA",BIHAR,23.5,7.5,489.5,1.4,0.05,2,2
1827,"TAP WATER COMING FROM OVER HEAD TANK
PMCH CAMPUS, PATNA",BIHAR,24,7.4,502,1.4,0.1,2,2
1828,"BORE WELL WATER IN CAMPUS OF PATNA WATER BOARD HEAD OFFICE, NEAR HIGH COURT,
PATNA",BIHAR,24.5,7.4,542,1.4,0.15,2,2
1829,"BORE WELL WATER FROM IGIMS CAMPUS,
PATNA",BIHAR,23,7.1,516,1.4,0.05,2,2
1830,"BORE WELL WATER (PHED PUMP HOUSE) SADAR
HOSPITAL CAMPUS, MUZAFFARPUR",BIHAR,21.5,7.05,1029,1.4,0.05,2,2
1831,"BORE WELL WATER MMC PUMP HOUSE
BRAHMPURA NAKA, MUZAFFARPUR",BIHAR,22,7.4,682,1.4,0.05,2,2
1832,"TAP WATER IN CAMPUS OF KALI ASTHAN,
BEGUSARAI",BIHAR,27,7.4,805.5,1.4,0.05,2,2
1833,"TAP WATER IN CAMPUS OF S.P OOFICE,
POKHARIA, BEGUSARAI",BIHAR,28,7.05,803.5,1.4,0.05,2,2
1834,"HAND PUMP WATER NEAR GOVT. HOSPITAL,
PURNEA",BIHAR,27.5,7.35,276,1.4,0.1,2,2
1835,"HAND PUMP WATER NEAR COURT LOWER
COURT, PURNEA",BIHAR,27,7.15,540.5,1.4,3.65,2,2
1836,"HAND PUMP WATER NEAR BUS STAND TILKS
MANJHI CHOWK, BEGUSARAI",BIHAR,28.5,7,919,1.4,0.5,2,2
1837,"BHAGALPUR TAP WATER NEAR RAILWAY
STATION",BIHAR,29,7.45,686.5,1.4,0.35,2,2
1838,"TAP WATER NEAR VEER KUWAR SINGH CHOWK,
MUNGER",BIHAR,26,6.9,907,1.4,0.1,2,2
1839,"HAND PUMP WATER IN CAMPUS OF KASTURBA
WATER WORKS, MUNGER",BIHAR,27,7.7,338,1.4,0.1,2,2
1840,"TAP WATER PHED PUMP HOUSE MAIN ROAD,
MOTIHARI",BIHAR,25.5,8.05,572.5,1.4,0.1,2,2
1841,"TAP WELL WATER FROM T. MODAL INTER
SCHOOL, G.B ROAD, GAYA",BIHAR,28,7.1,588.5,1.4,0.15,2,2
1842,"TAP WATER SAMPLE AT RAMKUND, GAYA",BIHAR,27,7,594,1.4,0.2,2,2
1843,"PHED WATER SUPPLY NEAR BUS STAND, RAJGIR",BIHAR,25.5,6.95,710.5,1.4,0.5,2,2
1844,"BORE WELL WATER NEAR COMMISSIONARY
OFFICE, CHAPRA",BIHAR,24,6.8,1405,1.4,8.25,2,2
2576,"HAND PUMP WATER AT CIVIL COURT,
AURANGABAD",BIHAR,26.5,7,758,1.4,0.2,2,2
2577,"HAND PUMP WATER AT COURT CAMPOUND,
ARARIA",BIHAR,28.5,7.45,193.5,1.4,0.15,2,2
2578,"HAND PUMP WATER AT SARDAR PATEL BUS
STAND, BHOJPUR",BIHAR,22,7.25,621.5,1.4,1.65,2,2
2579,"TUBE WELL WATER AT COLLECTRIATE CAMPUS,
BUXAR",BIHAR,26,7.15,628.5,1.4,0.95,2,2
2580,"HAND PUMP WATER FROM NAGAR PARISHAD,
BHABHUA",BIHAR,28.5,7.1,693.5,1.4,0.95,2,2
2581,"HAND PUMP WATER AT KILA GATE NEAR
RAMBAGH MITHILA UNIVERSITY, DARBHANGA",BIHAR,28,7.4,186,1.4,0,2,2
2582,"HAND PUMP WATER AT DARBHANGA BUS
STAND, DARBHANGA",BIHAR,29,7.5,401,1.4,0,2,2
2583,"HAND PUMP WATER AT BUS STAND, GOPALGANJ",BIHAR,23.5,6.75,1555,1.4,0.1,2,2
2584,"HAND PUMP WATER AT THAWAY MANDIR
CAMPUS, GOPALGANJ",BIHAR,24.5,7.2,788.5,1.4,0.2,2,2
2585,"TAP WATER NEAR PANI TANKI AT JAHANABAD
COURT, JAHANABAD",BIHAR,25,7.15,661.5,1.4,0.2,2,2
2586,"HAND PUMP WATER AT BUS STAND, KATIHAR",BIHAR,28,7.1,340,1.4,0.6,2,2
2587,"HAND PUMP WATER NEAR SADAR HOSPITAL,
KHAGARIA",BIHAR,29,6.7,867,1.4,0.5,2,2
2588,"HAND PUMP WATER AT D.M OFFICE,
KISHANGANJ",BIHAR,29,7.1,270,1.4,0.15,2,2
2589,"HAND PUMP WATER NEAR D.M OFFICE,
MADHEPURA",BIHAR,27.5,7,561.5,1.4,5.15,2,2
2590,"HAND PUMP WATER AT COLLECTRIATE OFFICE,
MADHUBANI",BIHAR,29,7.1,545,1.4,0.2,2,2
2591,"TAP WATER INSIDE THE CAMPUS OF TOURIST
CAFETERIA, NALANDA",BIHAR,25.5,7,669.5,1.4,1.85,2,2
2592,"NALANDA -HAND PUMP WATER AT CIVIL COURT
BIHAR SARIF",BIHAR,26,6.85,709,1.4,0.2,2,2
2593,"NAWADAH- HAND PUMP WATER AT
COLLECTRIATE CAMPUS.",BIHAR,26,7,685.5,1.4,0.15,2,2
2594,"SAHARSA HAND PUMP WATER NEAR SADAR
HOSPITAL",BIHAR,28,7.15,242.5,1.4,0.2,2,2
2595,"SAMASTIPUR HAND PUMP WATER AT
COLLECTRIATE CAMPUS",BIHAR,30,7.2,821,1.4,0,2,2
2596,"SITAMARHI HAND PUMP WATER AT SRI JANKI
MANDIR",BIHAR,23.5,7.8,507.5,1.4,0,2,2
2597,"SIWAN BORE WELL WATER AT COLLECTRIATE
CAMPUS",BIHAR,25,7,1110,1.4,0.2,2,2
2598,"ROHTAS BORE WELL WATER FROM WATER TANK
NEAR DHARMA SHALA SASARAM.",BIHAR,28,7.15,682,1.4,0.65,2,2
2599,"ROHTAS HAND PUMP WATER AT BUS STAND
SASARAM",BIHAR,28,7.25,659.5,1.4,1.05,2,2
2600,"VAISHALI TAP WATER AT RAILWAY STATION
CAMPUS HAZIPUR",BIHAR,22.5,7.45,1093,1.4,7.55,2,2
3138,"ARA (BHOJPUR) BORE WELL WATER AT STATION
ROAD NEAR RLY STATION",BIHAR,22.5,7.1,868,1.4,4.4,2,2
3139,ARARIA HAND PUMP WATER AT BUS STAND,BIHAR,29,7.3,176,1.4,0.1,2,2
3140,"BETTIAH HAND PUMP WATER AT RAILWAY
STATION",BIHAR,25,7.15,747,1.4,0.3,2,2
3141,"BODH GAYA HAND PUMP WATER NEAR LONG
LORD BUDHA TAMPLE",BIHAR,26.5,7,653.5,1.4,0.3,2,2
3142,"BIKRAMGANJ HAND PUMP WATER AT BUS
STAND CHAWK",BIHAR,28.5,7.2,532,1.4,1.3,2,2
3143,BAGAHA HAND PUMP WATER AT BAGAHA BAZAR,BIHAR,23,7.3,491.5,1.4,0.15,2,2
3144,"BARH HAND PUMP WATER NEAR A.N.S. COLLEGE
BARH",BIHAR,29,7.15,893.5,1.4,0.15,2,2
3145,"DEHRI ON SONE HAND PUMP WATER NEAR
MUFFASIL THANA MORE",BIHAR,26.5,7.05,379,1.4,0.3,2,2
3146,DUMRAON BORE WELL WATER AT PANI,BIHAR,25.5,7.3,692,1.4,0.3,2,2
3147,"JAYNAGAR HAND PUMP WATER AT RAILWAY
STATION",BIHAR,30,7.7,323,1.4,0.3,2,2
3148,"JAMALPUR HAND PUMP WATER POLICE STATION
JAMALPUR",BIHAR,29,8.6,1190,1.4,0.3,2,2
3149,"KUDRA HAND PUMP WATER AT RAILWAY
STATION",BIHAR,28,7,635.5,1.4,0.1,2,2
3150,"MANER HAND PUMP WATER AT MAIN ROAD
NEAR KALI MANDIR",BIHAR,23.5,7.5,579.5,1.4,1.9,2,2
3151,"MOHANIA HAND PUMP WATER AT MOHANIA
GUEST HOUSE",BIHAR,26,7.25,487.5,1.4,0.15,2,2
3152,"NARKATIAGANJ HAND PUMP WATER AT BUS
STAND",BIHAR,25.5,7.45,472,1.4,0.1,2,2
3153,"PIRO HAND PUMP WATER AT CHURCH HIGH
SCHOOL PIRO",BIHAR,27.5,7.1,539.5,1.4,0.25,2,2
3154,"GAYA TAP WATER SAMPLE AT RAMKUND, GAYA",BIHAR,26.5,7,672.5,1.4,0.2,2,2
3155,SUPUAL HAND PUMP WATER AT BUS STAND,BIHAR,29,7.1,250.5,1.4,0.5,2,2
3156,SAMASTIPUR HAND PUMP WATER AT BUS STAND,BIHAR,30,7.2,736,1.4,0.5,2,2
3157,"SULTANGANJ HAND PUMP WATER AT
SULTANGANJ CHAWK",BIHAR,28.5,7.05,794.5,1.4,3.15,2,2
3158,SHERGHATI BORE WELL WATER AT BUS STAND,BIHAR,27.5,7,743.5,1.4,0.15,2,2
3159,"SHAHPUR HAND PUMP WATER AT SHAHPUR
HIGH SCHOOL",BIHAR,22.5,7.2,1120,1.4,4.35,2,2
3161,KATIHAR HAND PUMP WATER AT BUS STAND,BIHAR,28,7.2,260,1.4,1.35,2,2
3162,"VAISHALI HAND PUMP WATER AT VAISHALI
BLOCK",BIHAR,21.5,7.15,813,1.4,0.1,2,2
2039,"SECTOR 15, CHANDIGARH",CHANDIGARH,23.5,7.3,908,1,3.8,2,7
2040,"SECTOR 22, CHANDIGARH",CHANDIGARH,22,7,853,1,1.6,22,26
2041,"SECTOR 34, CHANDIGARH",CHANDIGARH,23,7.15,884,1,4.95,2,2
2042,"SECTOR 47, CHANDIGARH",CHANDIGARH,22.5,7.3,691.5,1,4.75,2,2
2043,"PALSORA VILLAGE, CHANDIGARH",CHANDIGARH,23,7.1,1195.5,1.5,0.7,11,32
2044,"DHANAS VILLAGE, CHANDIGARH",CHANDIGARH,23.5,7.25,937,1.5,1.8,47.5,63
2045,"DADU MAJRA, CHANDIGARH",CHANDIGARH,23,7.6,749.5,1,2.65,18,20.5
1620,"AT RAIPUR REGION, CHHATISGARH.",CHHATTISGARH,27,7.45,451,1,2.65,18,2
1621,"AT RAIPUR REGION, CHHATISGARH.",CHHATTISGARH,26.5,7.35,447,1,2.65,18,2
1622,"AT BILASPUR REGION, CHHATISGARH.",CHHATTISGARH,31.5,7.5,421,0.1,0.4,18,2
1623,"AT BILASPUR REGION, CHHATISGARH.",CHHATTISGARH,28.5,7.5,441.5,0.15,0.3,18,2
3171,"HAND PUMP WATER 17/10 NEPALI MOHLLA, SHANKAR NAGAR, HEAVY INDUSTRIAL AREA,
BHILAI, CHHATISGARH.",CHHATTISGARH,23,7.3,441.5,0.15,0.3,18,2
3172,"BOREWELL/ HANDPUMP IN ROGBAHRI VILLAGE,
KORBA, CHHATISGARH.",CHHATTISGARH,17,7.15,0,0.5,0.3,18,2
3173,"BOREWELL/ HANDPUMP IN PARSABHATA,
BALCO, KORBA, CHHATISGARH.",CHHATTISGARH,26.5,7.2,0,0.4,0.5,18,2
3174,"BOREWELL/ HANDPUMP IN DHANRAS, NTPC,
KORBA, CHHATISGARH.",CHHATTISGARH,26.5,16.7,0,0.3,0.5,18,2
1440,"WELL AT SOMNATH INDUSTRIAL ESTATE, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.35,432,2,4.2,22.5,49.5
2448,"VILLAGE BHIMPORE, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",31,7.2,452.5,2,6.6,46,187
2449,"VILLAGE RINGANWADA, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",30,7.3,597,3,1.6,157,355
2450,"VILLAGE DUNETHA, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",31,7.2,581,1.5,2,240,675
2451,"VILLAGE DABHEL, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",30,7.35,1110,3,4.1,15.5,60
2452,"VILLAGE KACHIGAM, DAMAN","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.3,964.5,3,3.5,175,445
2453,"VILLAGE KHANVEL, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.55,651.5,2.5,0.95,305,975
2454,"VILLAGE ATHAL, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.3,413,2,0.7,315,920
2455,"VILLAGE MASAT, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.4,1113,2,0.7,309.5,920
2456,"VILLAGE PIPERIA, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30,7.35,1110.5,2,1.75,170,445
2457,"VILLAGE GALONDA, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30,7.1,776,2.5,0.7,12.5,40.5
2458,"VILLAGE, DADRA","DAMAN & DIU, DADRA &
NAGAR HAVELI",30.5,7.6,1297.5,3,1.05,87,205
3477,"WELL AT ALIPUR, DELHI",DELHI,30.5,7.8,2870,3,1.05,2,2
3479,"WELL AT AURBINDO MARG, DELHI",DELHI,30.5,7.7,2223.5,3,294.15,34.5,78
3480,"WELL AT BAWANA, DELHI",DELHI,30.5,8,3390,3,294.15,2,11
3483,"WELL AT BURARI, DELHI",DELHI,30.5,7.6,2040,3,2.4,2,2
3485,"WELL AT DEFENCE COLONY, DELHI",DELHI,30.5,7.9,1350,3,24.8,2,4
3488,"WELL AT DILSHAD GARDEN, DELHI",DELHI,30.5,7.4,1240,3,68,25.5,41
3489,"WELL AT DWARKA, DELHI",DELHI,30.5,7.4,6230,3,3.3,2,510
3490,"WELL AT FATEH PUR BERI, DELHI",DELHI,30.5,7.35,598.5,3,52.95,3.5,11
3492,"WELL AT GAJIPUR, DELHI",DELHI,30.5,7.35,6150,3,52.95,2,2
3493,"WELL AT GANDHI NAGAR, DELHI",DELHI,30.5,7.35,1608,3,52.95,2,2
3494,"WELL AT HAIDERPUR, DELHI",DELHI,30.5,7.7,801.5,3,3.05,165,285
3496,"WELL AT ISBT, DELHI",DELHI,30.5,7.5,1200,3,7.8,2,6
3498,"WELL AT KALKA JI, DELHI",DELHI,30.5,7.5,936,1,27.8,2,130
3500,"WELL AT KAMLA NAGAR, DELHI",DELHI,30.5,7.8,1140,1,27.8,4900,17000
3503,"WELL AT KAROL BAGH, DELHI",DELHI,30.5,7.4,792,1,3.8,4,13
3514,"WELL AT MATIALA, DELHI",DELHI,30.5,7.4,1150,1,21.8,27,170
3515,"WELL AT MAYA PURI, DELHI",DELHI,30.5,7.6,2530,1,38.6,9,79
3516,"WELL AT MAYUR VIHAR, DELHI",DELHI,30.5,7.6,1825,1,38.6,920,1600
3517,"WELL AT NAJAFGARH, DELHI",DELHI,30.5,7.6,2890,1,258.9,39,920
3518,"WELL AT NARAINA INDL AREA, DELHI",DELHI,30.5,7.7,1375,1,73,2,2
3520,"WELL AT OKHLA, DELHI",DELHI,30.5,6.8,1450,1,51.1,2,2
3523,"WELL AT PARIVESH BHAWAN, DELHI",DELHI,30.5,7.5,2980,1,6.5,2,2
3525,"WELL AT PATEL NAGAR, DELHI",DELHI,30.5,7.4,3690,1,67.6,2,5
3526,"WELL AT PATPAR GANJ, DELHI",DELHI,30.5,7.4,1141,1,67.6,2,2
3528,"WELL AT PEERAGARHI, DELHI",DELHI,30.5,7.6,5950,1,11.9,4,43
3531,"WELL AT QUTAB GARH, DELHI",DELHI,30.5,7.75,1608,1,12.35,2,101
3534,"WELL AT RASHTRAPATI BHAWAN, DELHI",DELHI,30.5,7.9,1635,1,92,170,920
3535,"WELL AT ROHINI, DELHI",DELHI,30.5,7.35,487,1,2.3,226,2001
3536,"WELL AT SAKET, DELHI",DELHI,30.5,7.55,1303,1,61.9,4.5,41
3537,"WELL AT SHAHDARA, DELHI",DELHI,30.5,7.5,2190,1,10.85,2,2
3543,"WELL AT TRILOKPURI, DELHI",DELHI,30.5,7.5,1380,1,10.85,79,79
3546,WELL AT VASANT VIHAR,DELHI,30.5,7.8,1680,1,91,11,33
2277,"WELL AT VERNA INDI.ESTATE.(M/S CIPLA
LIMITED)",GOA,29.5,6.75,407,1.55,1.1,2,2
2278,WELL AT SANCOALE INDL.ESTATE,GOA,29,6.8,95,1.7,1.35,2,2
2280,"WELL AT KUDAI INDL. ESTATE(M/S CADILA
HEALTHCARE LIMITED)",GOA,30,6.7,284.5,0.35,0.2,2,2
2281,WELL AT CORLIM INDL. ESTATE,GOA,30,5.75,94,0.6,0.65,401.5,1211.5
2282,"WELL AT PILERNE INDUSTRIAL ESTATE(M/S
UNICHEM )",GOA,30,7.45,305,1.55,0.05,5,7.5
3192,BORE WELL AT PILERNE INDUSTRIAL ESTATE,GOA,32,6.6,247,2,0.1,5,2
3193,BORE WELL AT CUNCOLIM INDUSTRIAL ESTATE,GOA,30,6.9,427.5,3,0.3,2,2
3194,BORE WELL AT BETHORA INDUSTRIAL ESTATE,GOA,30.5,6.25,138,1.7,1.95,66,112
3195,BORE WELL AT MADKAIM INDUSTRIAL ESTATE,GOA,29.5,6.3,82.5,1.3,0.8,2,2
3,WELL AT AHMEDABAD,GUJARAT,24,7.85,1333,1.55,1.85,2,2
6,WELL AT BARODA,GUJARAT,14.5,8.35,477.5,0.15,0.55,2,2
1226,"WELL AT NAROL, AHMEDABAD,",GUJARAT,33,8.35,355,1.4,0.5,2,2
1948,BHAVNAGAR,GUJARAT,29,8.05,1555,1.6,0.2,2,2
1949,AMRELI,GUJARAT,29.5,8.05,1260,1.6,0.3,2,2
1950,JUNAGADH,GUJARAT,24.5,7.8,1360,0.4,1.25,2,2
1951,RAJKOT,GUJARAT,28,7.9,1210,0.5,0.9,2,2
1953,JAMNAGAR,GUJARAT,26,7.8,1020,0.4,0.15,2,2
1954,BHUJ,GUJARAT,29,7.6,3740,1.3,3.1,2,2
1955,PALANPUR,GUJARAT,30,7.55,1380,1.5,1.7,2,2
1956,MEHASANA,GUJARAT,29,7.7,1739,1.4,2.6,2,2
1957,SIDDHPUR (DIST.PATAN),GUJARAT,27,8.05,1723,1.65,0.9,2,2
1958,HIMATNAGAR,GUJARAT,28,8.1,814,1.4,2.2,2,2
